id,namekey
1,all advertisers
2,all pubs
3,all pubs
4,Assistance Content
5,Media Partner Traffic Performance
6,Performance by Geo Location
7,Performance by Click Referring Domain
8,Week over Week Media Partner Variance
9,Monthly Media Partner Performance
10,Performance by Media Partner
11,Monthly Action Performance
12,Week over Week Action Variance
13,Call Performance Overview
14,Monthly Call Performance
15,Funnel Performance
16,Performance by Promo Code
17,Unique Tracking URL Performance
18,Account Balance History
19,Daily IO Action Caps
